period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-02,quarterly,Whole,National Statistics Office of Georgia,29.0,2655.0,16496.0,4457.0,76.0,23713.0,
2017-05,quarterly,Whole,https://automobile.geostat.ge/en/automobiles/rating,148.0,4625.0,9451.0,4520.0,52.0,18796.0,
2017-08,quarterly,Whole,National Statistics Office of Georgia,297.0,4327.0,5750.0,4683.0,6.0,15063.0,
2017-11,quarterly,Whole,National Statistics Office of Georgia,293.0,4889.0,5356.0,4944.0,7.0,15489.0,
2018-02,quarterly,Whole,National Statistics Office of Georgia,178.0,4807.0,6465.0,4590.0,12.0,16052.0,
2018-05,quarterly,Whole,National Statistics Office of Georgia,155.0,6796.0,7335.0,5362.0,18.0,19666.0,
2018-08,quarterly,Whole,National Statistics Office of Georgia,151.0,7578.0,7203.0,5194.0,15.0,20141.0,
2018-11,quarterly,Whole,National Statistics Office of Georgia,131.0,6463.0,6341.0,5328.0,33.0,18296.0,
2019-02,quarterly,Whole,National Statistics Office of Georgia,227.0,4311.0,6933.0,4628.0,24.0,16123.0,
2019-05,quarterly,Whole,National Statistics Office of Georgia,294.0,5883.0,7403.0,5957.0,37.0,19574.0,
2019-08,quarterly,Whole,National Statistics Office of Georgia,150.0,5721.0,6173.0,5691.0,58.0,17793.0,
2019-11,quarterly,Whole,National Statistics Office of Georgia,119.0,5586.0,6435.0,6028.0,98.0,18266.0,
2020-02,quarterly,Whole,National Statistics Office of Georgia,128.0,5214.0,10333.0,5845.0,112.0,21632.0,
2020-05,quarterly,Whole,National Statistics Office of Georgia,62.0,2874.0,4533.0,2512.0,44.0,10025.0,
2020-08,quarterly,Whole,National Statistics Office of Georgia,93.0,6861.0,12401.0,5381.0,114.0,24850.0,
2020-11,quarterly,Whole,National Statistics Office of Georgia,76.0,4976.0,8670.0,6190.0,137.0,20049.0,
2021-02,quarterly,Whole,National Statistics Office of Georgia,72.0,4226.0,11868.0,6658.0,106.0,22930.0,
2021-05,quarterly,Whole,National Statistics Office of Georgia,55.0,4674.0,12522.0,6918.0,113.0,24282.0,
2021-08,quarterly,Whole,National Statistics Office of Georgia,90.0,4645.0,12952.0,6464.0,20.0,24171.0,
2021-11,quarterly,Whole,National Statistics Office of Georgia,107.0,5066.0,13566.0,7532.0,25.0,26296.0,
2022-02,quarterly,Whole,National Statistics Office of Georgia,106.0,3092.0,11928.0,5950.0,24.0,21100.0,
2022-05,quarterly,Whole,National Statistics Office of Georgia,204.0,5156.0,18062.0,7561.0,39.0,31022.0,
2022-08,quarterly,Whole,National Statistics Office of Georgia,363.0,4902.0,15050.0,7358.0,79.0,27752.0,
2022-11,quarterly,Whole,National Statistics Office of Georgia,308.0,4692.0,16839.0,8315.0,49.0,30203.0,
2023-02,quarterly,Whole,National Statistics Office of Georgia,335.0,3577.0,16689.0,7302.0,45.0,27948.0,
2023-05,quarterly,Whole,National Statistics Office of Georgia,410.0,6209.0,21325.0,8923.0,49.0,36916.0,
2023-08,quarterly,Whole,National Statistics Office of Georgia,463.0,8460.0,26430.0,9430.0,140.0,44923.0,
2023-11,quarterly,Whole,National Statistics Office of Georgia,716.0,8460.0,25469.0,9036.0,147.0,43828.0,
2024-02,quarterly,Whole,National Statistics Office of Georgia,676.0,4916.0,16580.0,6668.0,178.0,29018.0,
2024-05,quarterly,Whole,National Statistics Office of Georgia,1038.0,7567.0,18904.0,7107.0,142.0,34758.0,
2024-08,quarterly,Whole,National Statistics Office of Georgia,1234.0,8440.0,21436.0,7976.0,173.0,39259.0,
2024-11,quarterly,Whole,National Statistics Office of Georgia,1358.0,7932.0,19934.0,9189.0,212.0,38625.0,
2025-02,quarterly,Whole,National Statistics Office of Georgia,1316.0,5625.0,16439.0,6860.0,186.0,30426.0,
2025-05,quarterly,Whole,National Statistics Office of Georgia,1907.0,9563.0,25144.0,5637.0,194.0,42445.0,
2025-08,quarterly,Whole,National Statistics Office of Georgia,2150.0,10829.0,28334.0,5049.0,180.0,46542.0,
2025-11,quarterly,Whole,National Statistics Office of Georgia,1805.0,10088.0,24822.0,4847.0,157.0,41719.0,
2026-02,quarterly,Whole,National Statistics Office of Georgia,2109.0,8191.0,20612.0,4265.0,123.0,35300.0,
